id,Movie Name,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,Toy Story (1995),0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,Jumanji (1995),0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Grumpier Old Men (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Waiting to Exhale (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,Father of the Bride Part II (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Heat (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Tom and Huck (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,GoldenEye (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,American President. The (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
11,Dracula: Dead and Loving It (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Balto (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nixon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Cutthroat Island (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Casino (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,Sense and Sensibility (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,Four Rooms (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ace Ventura: When Nature Calls (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Money Train (1995),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
20,Get Shorty (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
21,Copycat (1995),0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
22,Assassins (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,Powder (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,Leaving Las Vegas (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,Othello (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Now and Then (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Persuasion (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,City of Lost Children. The (Cité des enfants perdus. La) (1995),0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30,Dangerous Minds (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
32,Babe (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
